Features,Importance Correlation ,,,,Features,Importance Random forest,,,Most important,,,12384.2,12434,34601,428505704.2,430228834,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12591.8,13346,6972,87790029.6,93048312,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9670.6,9058,7771,75150232.6,70389718,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12215.8,12413,22402,273658351.6,278076026,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9632,9865,13069,125880608,128925685,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17244,17196,7729,133278876,132907884,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10048.8,10098,9766,98136580.8,98617068,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11331.2,11366,10541,119442179.2,119809006,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15515.9,15337,6507,100961961.3,99797859,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9365.9,9101,5261,49273999.9,47880361,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9010.9,8812,32878,296260370.2,289720936,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10079.1,10277,7768,78294448.8,79831736,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14087.5,13932,4479,63097912.5,62401428,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8991.2,8843,10708,96277769.6,94690844,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11892.8,11828,30051,357390532.8,355443228,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9048.9,9044,3618,32738920.2,32721192,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12947.1,12880,5466,70768848.6,70402080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12480.1,12787,6347,79211194.7,81159089,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10085.1,9762,9732,98148193.2,95003784,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9985.9,10816,14050,140301895,151964800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8867.9,8820,8940,79279026,78850800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19404.7,19433,5620,109054414,109213460,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10861.5,11437,8200,89064300,93783400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10581.8,10461,7494,79300009.2,78394734,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11636.1,11981,16461,191541842.1,197219241,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10272,10164,11313,116207136,114985332,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8254.3,8275,14723,121528058.9,121832825,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11295.2,11118,5164,58328412.8,57413352,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14189.5,14636,7438,105541501,108862568,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7931.4,7888,13674,108453963.6,107860512,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12225.8,11316,5204,63623063.2,58888464,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8209.1,8127,12952,106324263.2,105260904,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10810.1,9606,17437,188495713.7,167499822,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9191.1,9053,37513,344785734.3,339605189,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10401.7,10278,10774,112067915.8,110735172,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11877.3,11679,22375,265754587.5,261317625,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9004.6,9514,15123,136176565.8,143880222,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9843.3,9662,14536,143082208.8,140446832,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9364.7,9199,11844,110915506.8,108952956,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9213.4,9122,10976,101126278.4,100123072,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9753.8,9534,8303,80985801.4,79160802,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8407.4,7933,19230,161674302,152551590,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9044.2,8935,10206,92305105.2,91190610,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8175.8,7931,9326,76247510.8,73964506,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9167.4,9167,27412,251296768.8,251285804,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12770.2,13039,14485,184976347,188869915,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8795.3,8643,10013,88067338.9,86542359,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8578.9,8522,7913,67884835.7,67434586,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10902.3,10784,6923,75476622.9,74657632,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8131.6,7978,13888,112931660.8,110798464,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11958.4,12694,4841,57890614.4,61451654,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8753,8753,13874,121439122,121439122,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8740.7,8658,10115,88412180.5,87575670,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8233.2,7775,27818,229031157.6,216284950,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10054.4,9959,6956,69938406.4,69274804,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11825.3,12350,7621,90120611.3,94119350,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11001.4,11246,6048,66536467.2,68015808,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8626.1,8729,7419,63997035.9,64760451,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12587.7,12476,6990,87988023,87207240,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9919.6,10036,5818,57712232.8,58389448,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6555.2,6524,6159,40373476.8,40181316,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11507.5,10556,12198,140368485,128762088,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7977.5,7965,31320,249855300,249463800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7956.9,7608,6593,52459841.7,50159544,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8903.3,8887,20120,179134396,178806440,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8109.8,8062,5228,42398034.4,42148136,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7992.4,7885,6029,48186179.6,47538665,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9786.7,9653,13133,128528731.1,126772849,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9376.4,9325,22553,211465949.2,210306725,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12105.7,12138,37203,450368357.1,451570014,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9801,9836,5577,54660177,54855372,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15758.2,16619,5828,91838789.6,96855532,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7887.6,7461,19906,157010565.6,148518666,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11374.2,11642,18964,215700328.8,220778888,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9249,9143,22871,211533879,209109553,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9201.5,9082,50069,460709903.5,454726658,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8584.8,8317,19110,164055528,158937870,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8024.5,7836,13683,109799233.5,107219988,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11789.6,11274,9531,112366677.6,107452494,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8283.9,7909,5948,49272637.2,47042732,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9259.3,8949,5817,53861348.1,52056333,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8410,8195,20627,173473070,169038265,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11678.7,11792,5568,65027001.6,65657856,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8927.5,9423,29482,263200555,277808886,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10479.5,10902,14289,149741575.5,155778678,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10946.4,11208,5985,65514204,67079880,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11275.6,11413,6843,77158930.8,78099159,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24220.1,26754,3498,84721909.8,93585492,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8390.5,8222,7934,66570227,65233348,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15929.4,16038,9664,153941721.6,154991232,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7321.2,7106,6545,47917254,46508770,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7508.3,7477,6767,50808666.1,50596859,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10128.1,9747,57993,587358903.3,565257771,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9147.9,9062,44256,404849462.4,401047872,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15360.4,14993,6376,97937910.4,95595368,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10846.2,10135,8456,91715467.2,85701560,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18283.7,18678,6184,113066400.8,115504752,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7990.3,7803,5570,44505971,43462710,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8918.2,7969,6353,56657324.6,50627057,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17978.1,17788,5823,104686476.3,103579524,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10008.9,10391,18190,182061891,189012290,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12212.6,12328,60845,743075647,750097160,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10012.2,9097,9420,94314924,85693740,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11915.6,12026,23156,275917633.6,278474056,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9083.9,9055,6965,63269363.5,63068075,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9784.7,10105,38700,378667890,391063500,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8298.9,7920,6956,57727148.4,55091520,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10821,10578,86189,932651169,911707242,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10475.2,10299,6544,68549708.8,67396656,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13988.2,13865,8835,123585747,122497275,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10929.5,11229,149633,1635413874,1680228957,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9164.5,8804,25569,234327100.5,225109476,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10922,10548,9959,108772198,105047532,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12107.7,12217,18307,221655663.9,223656619,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12976.3,12172,14770,191659951,179780440,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8669.2,8408,4566,39583567.2,38390928,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10067.9,10371,6787,68330837.3,70387977,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9137.8,9042,11573,105751759.4,104643066,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10473.7,10650,11591,121400656.7,123444150,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15544.1,17266,7767,120731024.7,134105022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7968.7,7935,13548,107959947.6,107503380,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11031.2,11275,24436,269558403.2,275515900,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9487.4,9466,32937,312486493.8,311781642,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9424.9,9567,27205,256404404.5,260270235,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9951.5,10226,31447,312944820.5,321577022,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14149,14392,8346,118087554,120115632,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9999.6,10643,20014,200131994.4,213009002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10847.5,10588,7033,76290467.5,74465404,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12330.6,12091,9847,121419418.2,119060077,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9494.9,8650,8527,80963012.3,73758550,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9452.8,9219,13594,128501363.2,125323086,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14264.8,14762,12211,174187472.8,180258782,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10234.9,10167,9459,96811919.1,96169653,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9869.9,9652,5137,50701676.3,49582324,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9091.1,9197,6926,62964958.6,63698422,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11584.2,11092,12610,146076762,139870120,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10820.6,10210,6001,64934420.6,61270210,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10742.2,10022,4874,52357482.8,48847228,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9474.6,9606,40014,379116644.4,384374484,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9911.9,10079,5228,51819413.2,52693012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10778.8,10881,11775,126920370,128123775,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9908.2,9800,15053,149148134.6,147519400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8841.5,8700,24299,214839608.5,211401300,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8380.1,8527,1529,12813172.9,13037783,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10559.8,10545,13510,142662898,142462950,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9196.5,9086,9469,87081658.5,86035334,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10589.3,10939,5597,59268312.1,61225583,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12632.2,12280,28935,365512707,355321800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9893.7,10344,13951,138027008.7,144309144,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10577.1,11018,24911,263486138.1,274469398,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11040.5,11232,50055,552632227.5,562217760,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9095.4,8933,6872,62503588.8,61387576,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9137.2,9188,35600,325284320,327092800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10114.7,10154,18847,190631750.9,191372438,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10132.8,10361,14229,144179611.2,147426669,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9553,9208,19787,189025211,182198696,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9315.7,9282,15909,148203471.3,147667338,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9342.2,9390,12431,116132888.2,116727090,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10597.4,10922,11455,121393217,125111510,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8961.1,8846,39778,356454635.8,351876188,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12623.9,12937,5969,75352059.1,77220953,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12257.3,12133,14951,183258892.3,181400483,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10815.5,10657,9433,102022611.5,100527481,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10178.9,10066,15544,158220821.6,156465904,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7794.2,7664,8253,64325532.6,63250992,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9537.7,9699,74213,707821330.1,719791887,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10504.2,9775,16178,169936947.6,158139950,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12196.8,12167,33964,414252115.2,413239988,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9586.3,9404,31886,305668761.8,299855944,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10077.5,10358,21143,213068582.5,218999194,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9798.1,10955,4383,42945072.3,48015765,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10456.3,10493,11116,116232230.8,116640188,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10398,11002,43252,449734296,475858504,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9491.8,9439,71567,679299650.6,675520913,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10905.9,11298,3900,42533010,44062200,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9066.6,9157,19310,175076046,176821670,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8408.9,8485,18461,155236702.9,156641585,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11499.2,12298,13245,152306904,162887010,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9195.3,9216,18054,166011946.2,166385664,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9643.1,9810,11136,107385561.6,109244160,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8724,8712,17821,155470404,155256552,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12295.9,12208,12697,156121042.3,155004976,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8998.9,8655,10821,97377096.9,93655755,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8090.2,8209,8481,68612986.2,69620529,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15658.7,15436,15044,235569482.8,232219184,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10172.8,10157,55282,562372729.6,561499274,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10436.5,11753,13195,137709617.5,155080835,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14225.9,13977,8746,124419721.4,122242842,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8386.8,8294,7083,59403704.4,58746402,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8164.9,7999,20047,163681750.3,160355953,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8989.4,9199,14490,130256406,133293510,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9364.1,9328,54456,509931429.6,507965568,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9219,9187,92589,853577991,850615143,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9396.4,9355,135455,1272789362,1267181525,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9982.3,9853,6642,66302436.6,65443626,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13098.4,12817,35836,469394262.4,459310012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14487.3,14085,24442,354098586.6,344265570,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10050.6,10284,7424,74615654.4,76348416,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10320.6,10922,6986,72099711.6,76301092,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9529.8,9286,5914,56359237.2,54917404,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10831.9,10777,3420,37045098,36857340,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9406.3,8897,12367,116327712.1,110029199,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15596.2,17217,6361,99207428.2,109517337,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14473.7,14480,21766,315034554.2,315171680,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10356.2,10791,12574,130218858.8,135686034,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9420.7,9572,31622,297901375.4,302685784,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12442.3,12808,5509,68544630.7,70559272,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24746.1,22986,8597,212742221.7,197610642,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14640.9,12944,12309,180214838.1,159327696,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17314.2,16762,8759,151655077.8,146818358,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13315.5,13525,29380,391209390,397364500,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19430.5,19443,6091,118351175.5,118427313,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9554.6,10189,12327,117779554.2,125599803,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8586.1,8709,20927,179681314.7,182253243,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8910.9,8744,49933,444947969.7,436614152,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10424.2,9750,10980,114457716,107055000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9585.3,9635,28172,270037071.6,271437220,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9730.3,9392,41255,401423526.5,387466960,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10528.3,10817,7988,84100060.4,86406196,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9080.1,9369,29855,271086385.5,279711495,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13039.3,12928,33199,432891720.7,429196672,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9283.1,9155,31547,292853955.7,288812785,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10563.2,10767,13068,138039897.6,140703156,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10787.5,9817,5239,56515712.5,51431263,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11210.1,11393,41117,460925681.7,468445981,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9450.5,8944,16601,156887750.5,148479344,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8745.8,8271,8610,75301338,71213310,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10967.6,11374,14437,158339241.2,164206438,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10162.4,10434,34364,349220713.6,358553976,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8589.4,8362,36287,311683557.8,303431894,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8834.9,8701,8141,71924920.9,70834841,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12217.2,12320,22131,270378853.2,272653920,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9400.1,9462,55841,524910984.1,528367542,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12070.1,12303,40412,487776881.2,497188836,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12185.2,12424,10406,126799191.2,129284144,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11322.8,10771,8593,97296820.4,92555203,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14927.4,15870,17281,257960399.4,274249470,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10340.7,10458,16972,175502360.4,177493176,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8625.6,8358,46120,397812672,385470960,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10488.4,10390,20904,219249513.6,217192560,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13864,13790,11292,156552288,155716680,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12936.2,12819,10190,131819878,130625610,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11174.5,11165,24941,278703204.5,278466265,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9264.6,9270,6107,56578912.2,56611890,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9213.3,8172,15183,139885533.9,124075476,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11138.9,10632,10705,119241924.5,113815560,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11646.2,11711,21459,249915805.8,251306349,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10246.6,10278,15132,155051551.2,155526696,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10141.2,10330,5698,57784557.6,58860340,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9616.9,9506,8588,82589937.2,81637528,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11413.1,10581,6443,73534603.3,68173383,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14721.8,15965,8148,119953226.4,130082820,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9545.5,9915,22482,214601931,222909030,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12570.5,12602,16000,201128000,201632000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8379.5,8533,29280,245351760,249846240,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13254.9,13280,5259,69707519.1,69839520,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7622.3,8228,4777,36411727.1,39305156,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10796.3,10661,10450,112821335,111407450,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8910.8,8806,13398,119386898.4,117982788,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10394.7,10394,6675,69384622.5,69379950,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10199.2,8267,9053,92333357.6,74841151,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12892.3,14302,10686,137767117.8,152831172,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9207.4,9064,7777,71605949.8,70490728,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9983.6,10935,7362,73499263.2,80503470,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9728.9,9391,43959,427672715.1,412818969,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16597,17225,9849,163463853,169649025,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8634.9,8860,12787,110414466.3,113292820,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9845.8,10027,13477,132691846.6,135133879,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10912.7,10946,11578,126347240.6,126732788,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9036.8,8189,12241,110619468.8,100241549,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9466.6,9441,75211,711992452.6,710067051,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8352,8119,33379,278781408,271004101,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11202.4,11451,7846,87894030.4,89844546,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9216.4,9426,9711,89500460.4,91535886,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8144.3,7738,21428,174516060.4,165809864,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9183.9,5004,6601,60622923.9,33031404,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10199.6,9974,20407,208143237.2,203539418,,,,,,,,,,,,,,,,,,
